Term,Variable,Description,Category1|Category2|...
"gmx hbond-legacy","gmx hbond-legacy","A legacy version of the gmx hbond tool for analyzing hydrogen bonds","software"
"Luzar and Chandler model","model of Luzar and Chandler","A model for analyzing the kinetics of hydrogen bond breaking and formation","model"
"gmx helix","gmx helix","A GROMACS tool to compute properties of helical structures","software"
"Helix radius","Helix radius","The RMS deviation of C-alpha atoms from the helical axis","measure"
"Helix twist","Twist","The average helical angle per residue","measure"
"Helix rise","Rise per residue","The translation along the helical axis per residue","measure"
"Ellipticity","Ellipticity","A measure of the circular dichroism signal, often used to characterize helices","measure"
"gmx helixorient","gmx helixorient","A GROMACS tool to calculate the orientation of an alpha helix","software"
"Euler rotations","Euler rotations","A method to describe the orientation of a rigid body using three angles","method"
"gmx hydorder","gmx hydorder","A GROMACS tool to compute tetrahedrality order parameters","software"
"Tetrahedrality order parameter","tetrahedrality order parameters","A measure of the local tetrahedral arrangement of atoms, e.g., around a water molecule","measure"
"gmx insert-molecules","gmx insert-molecules","A GROMACS tool to insert molecules into a system, e.g., for solvation","software"
"van der Waals radii","van der Waals radii","The radius of an imaginary hard sphere representing an atom","measure"
"gmx lie","gmx lie","A GROMACS tool to compute free energy estimates using the LIE method","software"
"gmx make_edi","gmx make_edi","A GROMACS tool to generate an input file for essential dynamics sampling","software"
"Essential Dynamics (ED)","Essential Dynamics (ED)","A method to analyze and sample the large-scale collective motions of a system","method"
"Flooding potential","flooding potential","A biasing potential used in ED sampling to enhance exploration of conformational space","model"
"gmx make_ndx","gmx make_ndx","A GROMACS tool to create special index groups for analysis","software"
"Index editor","index editor","An interactive tool within gmx make_ndx for creating and manipulating index groups","software"
"gmx mdmat","gmx mdmat","A GROMACS tool to create distance matrices between residue pairs","software"
"Distance matrix","distance matrices","A matrix containing the distances between pairs of residues or atoms","data format"
"Stochastic Dynamics","Stochastic Dynamics","A simulation method that includes random forces to mimic solvent effects","method"
"Hessian matrix","Hessian matrix","A square matrix of second-order partial derivatives of a function","model"
"Interactive molecular dynamics (IMD)","Interactive molecular dynamics (IMD)","A technique that allows real-time interaction with a running simulation","method"
"gmx mindist","gmx mindist","A GROMACS tool to compute the minimum distance between groups of atoms","software"
"gmx mk_angndx","gmx mk_angndx","A GROMACS tool to create an index file for angle/dihedral analysis","software"
"Diffusion constant","diffusion constant","A measure of the rate of diffusion of a substance","measure"
"Einstein relation (diffusion)","Einstein relation","A formula that relates the diffusion constant to the mean square displacement","method"
"MSD tensor","MSD tensor","A tensor describing the mean square displacement in x, y, and z directions","measure"
"Quantum corrections","quantum corrections","Corrections to classical simulations to account for quantum effects, e.g., on heat capacity","method"
"Standard Entropy","Standard Entropy","The entropy content of one mole of substance under standard state conditions","measure"
"Zero-point energy","Zero-point energy","The lowest possible energy that a quantum mechanical system may have","measure"
"gmx nmr","gmx nmr","A GROMACS tool to extract distance or orientation restraint data from an energy file","software"
"Molecular order tensor","molecular order tensor","A tensor describing the orientational order of molecules","measure"
"gmx nmtraj","gmx nmtraj","A GROMACS tool to generate a virtual trajectory from a normal mode eigenvector","software"
"gmx nonbonded-benchmark","gmx nonbonded-benchmark","A GROMACS tool for benchmarking the performance of non-bonded kernels","software"
"Nbnxm kernels","Nbnxm non-bonded pair kernels","Highly optimized kernels for non-bonded force calculations in GROMACS","software|algorithm"
"gmx order","gmx order","A GROMACS tool to compute order parameters, typically for lipid tails","software"
"Deuterium order parameter","deuterium order parameter","An order parameter (Scd) that can be related to NMR experiments on deuterated lipids","measure"
"gmx pairdist","gmx pairdist","A GROMACS tool to calculate pairwise distances between selections","software"
"gmx pdb2gmx","gmx pdb2gmx","A GROMACS tool to generate a topology from a PDB file","software"
"Chain separator","chainsep","An option in pdb2gmx to define how to separate chains in a PDB file","software"
"Termini","ter","The N- and C-terminal ends of a polypeptide chain","chemical entity"
"Zwitterionic","zwitterionic","A molecule with both positive and negative charges, but a net charge of zero","state"
"sPME algorithm","sPME algorithm","The smooth Particle Mesh Ewald algorithm for electrostatics","algorithm"
"gmx polystat","gmx polystat","A GROMACS tool to plot static properties of polymers","software"
"End-to-end distance","end-to-end distance","The distance between the first and last atom of a polymer chain","measure"
"Persistence length","persistence length","A measure of the stiffness of a polymer chain","measure"
"gmx potential","gmx potential","A GROMACS tool to compute the electrostatic potential across the box","software"
"gmx principal","gmx principal","A GROMACS tool to calculate the three principal axes of inertia","software"
"Principal axes of inertia","principal axes of inertia","The three mutually orthogonal axes about which the moment of inertia is maximized","measure"
"gmx rama","gmx rama","A GROMACS tool to compute and plot Ramachandran (phi/psi) angles","software"
"Radial distribution function (RDF)","radial distribution functions","A function that describes how density varies as a function of distance from a reference particle","measure"
"Cumulative number RDF","cumulative number RDF","The integral of the RDF, representing the average number of particles within a distance r","measure"
"gmx report-methods","gmx report-methods","A GROMACS tool to report basic system information from a run input file","software"
"Root Mean Square Deviation (RMSD)","root mean square deviation (RMSD)","A measure of the average distance between the atoms of superimposed structures","measure"
"rho similarity parameter","rho similarity parameter","A size-independent measure of structural similarity","measure"
"gmx rmsdist","gmx rmsdist","A GROMACS tool to compute the RMS deviation of atom distances","software"
"NMR averaged distances","NMR averaged distances","Distances averaged according to 1/r^3 or 1/r^6, relevant for NMR NOE data","measure"
"Root Mean Square Fluctuation (RMSF)","root mean square fluctuation (RMSF)","A measure of the deviation of an atom's position from its average position","measure"
"Anisotropic temperature factors","anisotropic temperature factors","Factors (Uij) describing atomic displacement in an anisotropic manner","measure"
"gmx rotacf","gmx rotacf","A GROMACS tool to calculate the rotational correlation function","software"
"Rotational correlation function","rotational correlation function","A function that describes the time correlation of a molecule's orientation","measure"
"Legendre polynomial","Legendre polynomial","A class of orthogonal polynomials used in the expansion of functions","model"
"gmx rotmat","gmx rotmat","A GROMACS tool to plot the rotation matrix for least-squares fitting","software"
"Rotation matrix","rotation matrix","A matrix that describes the rotation of an object in a 3D space","model"
"gmx saltbr","gmx saltbr","A GROMACS tool to analyze the distance between charged groups (salt bridges)","software"
"Salt bridge","salt bridges","A non-covalent interaction between two oppositely charged residues","chemical entity"
"gmx sans-legacy","gmx sans-legacy","A legacy GROMACS tool to compute Small-Angle Neutron Scattering (SANS) spectra","software"
"Debye formula","Debye formula","A formula to calculate scattering intensity from a set of atomic coordinates","model"
"g(r) function","g(r) function","The pair correlation function, equivalent to the radial distribution function","measure"
"SANS intensity","SANS intensity","The scattering intensity as a function of the scattering vector q for SANS","measure"
