"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Berendsen Thermostat","Berendsen Thermostat","A weak-coupling algorithm for temperature control.","algorithm|method","yes","109064,128099","2"
"Berendsen thermostat","Berendsen thermostat","A weak-coupling method for temperature control.","algorithm|method","yes","109064,128099","2"
"bfgs","bfgs","Broyden–Fletcher–Goldfarb–Shanno algorithm, an optimization method used by OptC4.py.","algorithm|method","yes","100058,139337,139341","4"
"bfgs","bfgs","Broyden–Fletcher–Goldfarb–Shanno algorithm for parameter optimization.","algorithm|method","yes","100058,139337,139341","4"
"BiCG","BiCG","Biconjugate gradient, a solver for linear systems","algorithm","yes","29994,30106,30167,30292","4"
"BiCG","BiCG","Biconjugate gradient, a solver for linear systems","algorithm","yes","29994,30106,30167,30292","4"
"Bond Energy","bond","The energy contribution from valence bonds.","measure","yes","2153,5918,7578,7884,8678,8720,12283,17747,17760,18162,18167,18172,18337,33264,35284,35285,44640,45209,45517,45537,45587,45608,45736,45749,45975,48534,48573,48593,49060,49108,49109,49272,50034,50036,50037,50808,50969,59265,62679,64289,64290,64291,64328,64376,64513,65857,65858,65860,65945,65978,65982,65985,66010,66011,66017,66041,66054,66070,66089,66097,66101,66106,66107,66108,66110,66117,66121,66133,66141,66152,66163,66183,66202,66204,66213,66221,66222,66249,66273,66282,66902,67295,67300,67712,68180,68658,68766,72881,73510,73813,73829,73843,73844,73845,73846,73847,74052,74053,74300,74302","396"
"bond","bond","LEaP command to create a chemical bond between two atoms","software","yes","2153,5918,7578,7884,8678,8720,12283,17747,17760,18162,18167,18172,18337,33264,35284,35285,44640,45209,45517,45537,45587,45608,45736,45749,45975,48534,48573,48593,49060,49108,49109,49272,50034,50036,50037,50808,50969,59265,62679,64289,64290,64291,64328,64376,64513,65857,65858,65860,65945,65978,65982,65985,66010,66011,66017,66041,66054,66070,66089,66097,66101,66106,66107,66108,66110,66117,66121,66133,66141,66152,66163,66183,66202,66204,66213,66221,66222,66249,66273,66282,66902,67295,67300,67712,68180,68658,68766,72881,73510,73813,73829,73843,73844,73845,73846,73847,74052,74053,74300,74302","396"
"bond","bond","LEaP command to manually create a covalent bond between atoms.","software|process","yes","2153,5918,7578,7884,8678,8720,12283,17747,17760,18162,18167,18172,18337,33264,35284,35285,44640,45209,45517,45537,45587,45608,45736,45749,45975,48534,48573,48593,49060,49108,49109,49272,50034,50036,50037,50808,50969,59265,62679,64289,64290,64291,64328,64376,64513,65857,65858,65860,65945,65978,65982,65985,66010,66011,66017,66041,66054,66070,66089,66097,66101,66106,66107,66108,66110,66117,66121,66133,66141,66152,66163,66183,66202,66204,66213,66221,66222,66249,66273,66282,66902,67295,67300,67712,68180,68658,68766,72881,73510,73813,73829,73843,73844,73845,73846,73847,74052,74053,74300,74302","396"
"buffer","buffer","Keyword for the minimum distance between solute and solvent box edge","identifier|measure","yes","33644,33714,33721,33900,34059,34074,34088,34138,34145,34189,34769,38250,38279,38286,38360,38410,38463,38592,38599,38704,38711,41656,41663,41756,41808,41872,41933,42045,42052,42169,42176,62542,62553,62555,62592,62666,62685,62821,62852,62915,63116,63122,63137,63149,63154,63171,63183,63196,63203,63215,63258,63265,63373,63378,63393,63408,63531,63595,63724,63741,64039,64264,64285,64498,64858,64868,64880,64925,64959,67284,68622,78592,81290,81294,81302,81310,81449,81453,96563,105486,105500,105631,105654,121264,121824,121886,121945,136107,136116,136117,179168,191652,191657,191665,191772,191793,191794,191796,191857,191858","110"
"buffer","buffer","The minimum distance between the solute and the edge of the RISM solvation box","measure","yes","33644,33714,33721,33900,34059,34074,34088,34138,34145,34189,34769,38250,38279,38286,38360,38410,38463,38592,38599,38704,38711,41656,41663,41756,41808,41872,41933,42045,42052,42169,42176,62542,62553,62555,62592,62666,62685,62821,62852,62915,63116,63122,63137,63149,63154,63171,63183,63196,63203,63215,63258,63265,63373,63378,63393,63408,63531,63595,63724,63741,64039,64264,64285,64498,64858,64868,64880,64925,64959,67284,68622,78592,81290,81294,81302,81310,81449,81453,96563,105486,105500,105631,105654,121264,121824,121886,121945,136107,136116,136117,179168,191652,191657,191665,191772,191793,191794,191796,191857,191858","110"
"Buffer Region Mask","buffermask","Amber mask specifying the buffer atoms","identifier","yes","63393,63519,63524,63540,63597,64078,121935,121940","9"
"Buffer Region Mask","buffermask","Amber selection mask to define the buffer QM region.","identifier|data format","yes","63393,63519,63524,63540,63597,64078,121935,121940","9"
"Buffer QM Region Charge","buffercharge","The net charge of the buffer QM region.","measure|state","yes","63408,63585,63590,121254,121259","5"
"Buffer Region Charge","buffercharge","Total charge of the user-specified buffer atom list","measure","yes","63408,63585,63590,121254,121259","6"
"Buffer Region","buffermask","A region surrounding the dynamical QM region to converge forces","model","yes","62542,62553,62555,62666,62821,63122,63373,63378,63393,63408,63519,63524,63540,63597,64078,64498,64925,64959,105486,121824,121935,121940","23"
"car_to_files.py","car_to_files.py","A program to convert .car files to mol2 and PDB formats.","software","yes","98754,100694,100699,100707,100715","5"
"car_to_files.py","car_to_files.py","A program to generate mol2 and PDB files from a .car file.","software","yes","98754,100694,100699,100707,100715","5"
"car_to_files.py","car_to_files.py","A program to generate mol2 and PDB files from a .car file.","software","yes","98754,100694,100699,100707,100715","5"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software","yes","98722,100168,100173,100181,100189","5"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software|process","yes","98722,100168,100173,100181,100189","5"
"CartHess2FC.py","CartHess2FC.py","A program to calculate force constants from a Cartesian Hessian matrix.","software|process","yes","98722,100168,100173,100181,100189","5"
"cavity_offset","cavity_offset","The regression offset for the non-polar solvation free energy","identifier|measure","yes","26560,191004,191009","3"
"cavity_offset","cavity_offset","The regression offset for the non-polar solvation free energy","identifier|measure","yes","26560,191004,191009","3"
"cavity_offset","cavity_offset","An offset to correct the non-polar free energy contribution in PB","measure","yes","26560,191004,191009","3"
"cestats","cestats","A program to analyze and process output from constant redox potential simulations.","software","yes","152977,152986,153011,157716,157737,169628,173142,173165,173170,173238,173241,173250,173261,173272,173298,173839","16"
"cestats","cestats","A program to compute statistics from constant redox potential simulations","software","yes","152977,152986,153011,157716,157737,169628,173142,173165,173170,173238,173241,173250,173261,173272,173298,173839","16"
"cg","cg","Conjugate Gradient, an optimization method used by OptC4.py.","algorithm|method","yes","7346,7810,7823,8649,17849,17921,17931,17946,17968,17973,17978,17997,18023,18038,18041,18055,18063,18079,18089,18288,18293,18301,18313,18314,18418,18424,30028,30105,30130,30158,30159,30162,30167,30416,45861,67342,82990,82995,89339,91738,91831,100058,137425,139049,175071,175079,175087,175095,181939","54"
"cg","cg","Conjugate Gradient, an optimization method for parameter fitting.","algorithm|method","yes","7346,7810,7823,8649,17849,17921,17931,17946,17968,17973,17978,17997,18023,18038,18041,18055,18063,18079,18089,18288,18293,18301,18313,18314,18418,18424,30028,30105,30130,30158,30159,30162,30167,30416,45861,67342,82990,82995,89339,91738,91831,100058,137425,139049,175071,175079,175087,175095,181939","54"
"CHAGB","CHAGB","Charge Hydration Asymmetric Generalized Born model","model|method","yes","22340,22350,22395,22418,22426,22570,22617,22702,22734,22743,22756,22794,22914,22935","14"
"CHAGB","CHAGB","Charge Hydration Asymmetric Generalized Born model","model|method","yes","22340,22350,22395,22418,22426,22570,22617,22702,22734,22743,22756,22794,22914,22935","14"
"CHARMM","CHARMM","A molecular simulation program and its associated force fields","software|model","yes","4276,4285,13503,13504,14599,14604,48324,49954,70444,70840,70851,84152,84157,84669,84673,84675,84696,84734,84736,84745,84748,84749,84754,84759,84760,84766,84798,84816,84866,84874,84936,85070,85117,85151,85182,85212,85258,85277,85279,85291,85334,85338,85340,85361,85399,85410,85413,85414,85419,85424,85425,85431,85463,85481,85531,85539,85601,85735,85782,85816,85847,85877,85923,85942,85944,85956,85999,86000,86010,86022,86037,86047,86048,86057,86066,86068,86102,86112,86194,86199,86204,86209,86259,86261,86283,86293,86316,86421,86672,87529,87533,88192,88225,88226,89533,89538,89721,89724,89735,91098","128"
"CHARMM","CHARMM","A widely used molecular simulation program and its associated force fields.","software|model","yes","4276,4285,13503,13504,14599,14604,48324,49954,70444,70840,70851,84152,84157,84669,84673,84675,84696,84734,84736,84745,84748,84749,84754,84759,84760,84766,84798,84816,84866,84874,84936,85070,85117,85151,85182,85212,85258,85277,85279,85291,85334,85338,85340,85361,85399,85410,85413,85414,85419,85424,85425,85431,85463,85481,85531,85539,85601,85735,85782,85816,85847,85877,85923,85942,85944,85956,85999,86000,86010,86022,86037,86047,86048,86057,86066,86068,86102,86112,86194,86199,86204,86209,86259,86261,86283,86293,86316,86421,86672,87529,87533,88192,88225,88226,89533,89538,89721,89724,89735,91098","128"
"charmmlipid2amber.py","charmmlipid2amber.py","A script to convert CHARMM lipid PDBs to Amber format","software|process","yes","2043,14602,14609,69200,197966","5"
"charmmlipid2amber.py","charmmlipid2amber.py","A script to convert CHARMM lipid parameters to Amber format","software","yes","2043,14602,14609,69200,197966","5"
"ChBox","ChBox","A program to modify the box information in an Amber coordinate file.","software","yes","78429,105751,105754,105793,105811","5"
"ChBox","ChBox","A program to modify the box information in an Amber coordinate file.","software","yes","78429,105751,105754,105793,105811","5"
"closure","closure","Keyword to specify the closure approximation(s) to be used","identifier","yes","31476,31487,31549,31690,31716,31847,32484,32530,32531,32646,32657,34548,34940,34948,34949,34954,34960,34966,35001,35002,35004,35014,35016,35021,35043,35044,35191,35196,35236,35282,35331,35526,35531,35536,36422,37473,37480,37487,37492,37493,37494,37496,37723,38566,38634,38645,38657,41480,41487,41498,41556,41557,41559,42020,42087,42098,42110,43136,129721,191674,191679,191684,191740,191938,214068","66"
"closure","closure","The approximation to the closure relation in 3D-RISM","identifier|model","yes","31476,31487,31549,31690,31716,31847,32484,32530,32531,32646,32657,34548,34940,34948,34949,34954,34960,34966,35001,35002,35004,35014,35016,35021,35043,35044,35191,35196,35236,35282,35331,35526,35531,35536,36422,37473,37480,37487,37492,37493,37494,37496,37723,38566,38634,38645,38657,41480,41487,41498,41556,41557,41559,42020,42087,42098,42110,43136,129721,191674,191679,191684,191740,191938,214068","66"
"Closure Relation","--closure","An equation to close the Ornstein-Zernike relation in RISM","model|method","yes","31476,31549,41480,191684,191938,214068","6"
"closure relation","closure relation","An equation relating the total and direct correlation functions","model|method","yes","31476,31549,191684,191938","4"
"CMAP","CMAP","A grid-based energy correction map for protein backbone dihedrals","model|method","yes","4756,4806,4812,4835,4874,4906,4908,4943,4944,4957,4969,7599,84735,84769,84785,85400,85434,85450,86119,87207,97400,97402,97404,97475,97696,97706,97707,122117,187786,187801,194591,194602","32"
"CMAP","CMAP","A grid-based energy correction term for protein backbone dihedrals.","model","yes","4756,4806,4812,4835,4874,4906,4908,4943,4944,4957,4969,7599,84735,84769,84785,85400,85434,85450,86119,87207,97400,97402,97404,97475,97696,97706,97707,122117,187786,187801,194591,194602","32"
"Correction Map Energy","cmap","The correction map energy contribution for coupled torsions (CHARMM).","measure","yes","4756,4806,4812,4835,4874,4906,4908,4943,4944,4957,4969,7599,84735,84769,84785,85400,85434,85450,86119,87207,97400,97402,97404,97475,97696,97706,97707,122117,187786,187801,194591,194602","33"
"Con2SES-3D","Con2SES-3D","A machine-learned solvent excluded surface model with high accuracy","model|software","yes","26660,26663,26745,30972","4"
"Con2SES-3D","Con2SES-3D","A machine-learned solvent excluded surface model with high accuracy","model|software","yes","26660,26663,26745,30972","4"
"Constant pH Molecular Dynamics","Constant pH MD","A simulation method that allows protonation states to change dynamically.","method|process","yes","122101,126228,152373,167854,168409,168762,169828,172296,172835,172957,173956,173959,173979,173987,174054,174145,175511","17"
"Constant pH Molecular Dynamics","CpHMD","A method to simulate systems at a constant pH value","method|process","yes","157894,167845,167854,168568,168678,168691,168725,169235,169243,169824,169958,169993,170000,171828,172296,172297,172304,172308,172322,173194,173956,174091,174127,174182,174415,174487,174506,174521,174534,174539,174548,174559,174560,174566,174572,174580,174691,174739,174751,175516,175522,175717,175718,175724,175729,175738,175816,175817","52"
"Core Region Mask","coremask","Amber mask specifying the core QM atoms","identifier","yes","63383,63443,63448,63464,63470,63508,63559,63884,64070,64120,64125,121915,121920,121968","15"
"Core Region Mask","coremask","Amber selection mask to define the core QM region.","identifier|data format","yes","63383,63443,63448,63464,63470,63508,63559,63884,64070,64120,64125,121915,121920,121968","15"
"Core QM Region Charge","corecharge","The net charge of the core QM region.","measure|state","yes","63398,63547,63552,121238,121243","5"
"Core Region Charge","corecharge","Total charge of the user-specified core atom list","measure","yes","63398,63547,63552,121238,121243","6"
"Core QM Region","coremask","Atoms that are always treated quantum mechanically","model","yes","63383,63443,63448,63464,63470,63508,63559,63884,64070,64120,64125,121248,121915,121920,121925,121968","16"
