"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"Error analysis tool","gmx analyze","A GROMACS tool for data analysis, including error estimation","software","no","","0","Lower-priority member of semantic cluster led by row 267 (Champion: 'gmx analyze')"
"Angle analysis tool","gmx angle","A GROMACS tool for calculating distributions of angles and dihedrals","software","no","","0","Lower-priority member of semantic cluster led by row 269 (Champion: 'gmx angle')"
"AWH analysis tool","gmx awh","A GROMACS tool to extract and analyze data from an AWH simulation","software","no","","0","Lower-priority member of semantic cluster led by row 271 (Champion: 'gmx awh')"
"gmx bar","gmx bar","A GROMACS tool for analyzing free energy differences","software","yes","4,81,82,84,142,314,321,407,733,778,789","18","Lower-priority member of semantic cluster led by row 272 (Champion: 'gmx bar')"
"gmx benchmark","gmx benchmark","A tool for running GROMACS benchmarks, which now contains some options previously in mdrun","software","yes","729,749,769,792,814,834,852","7","Lower-priority member of semantic cluster led by row 274 (Champion: 'gmx benchmark')"
"gmx benchmark","gmx benchmark","A dedicated tool for benchmarking that now contains some options previously in mdrun","software","yes","729,749,769,792,814,834,852","7","Lower-priority member of semantic cluster led by row 274 (Champion: 'gmx benchmark')"
"gmx benchmark","gmx benchmark","A dedicated tool for benchmarking, which now contains some options previously in mdrun","software","yes","729,749,769,792,814,834,852","7","Lower-priority member of semantic cluster led by row 274 (Champion: 'gmx benchmark')"
"GROMACS check utility","gmx check","A tool to get a quick look at trajectory contents","software","no","","0","Lower-priority member of semantic cluster led by row 279 (Champion: 'gmx check')"
"gmx chi","gmx chi","A GROMACS tool for analyzing backbone and sidechain dihedral angles","software","yes","4,147,314,322,747,768,788,791,802,803,876","16","Lower-priority member of semantic cluster led by row 282 (Champion: 'gmx chi')"
"gmx chi","gmx chi","An analysis tool for dihedral angles, which was previously deprecated","software","yes","4,147,314,322,747,768,788,791,802,803,876","16","Lower-priority member of semantic cluster led by row 282 (Champion: 'gmx chi')"
"gmx chi","gmx chi","A deprecated analysis tool that was undeprecated due to community interest","software","yes","4,147,314,322,747,768,788,791,802,803,876","16","Lower-priority member of semantic cluster led by row 282 (Champion: 'gmx chi')"
"gmx chi -chi_prod","gmx chi -chi_prod","A fix for a crash when the number of dihedrals and residues differed","software","yes","803","1","Lower-priority member of semantic cluster led by row 284 (Champion: 'gmx chi -chi_prod')"
"gmx chi -chi_prod","gmx chi -chi_prod","A fix for a crash or garbage results when the number of relevant dihedrals differed from the number of residues","software","yes","803","1","Lower-priority member of semantic cluster led by row 284 (Champion: 'gmx chi -chi_prod')"
"gmx chi histogramming","gmx chi histogramming","A fix for a possible crash due to an invalid reference","software","yes","803","1","Lower-priority member of semantic cluster led by row 288 (Champion: 'gmx chi histogramming')"
"gmx cluster","gmx cluster","A GROMACS tool for clustering structures from a trajectory","software","yes","4,150,151,192,314,320,832,844,848,880","13","Lower-priority member of semantic cluster led by row 290 (Champion: 'gmx cluster')"
"gmx cluster","gmx cluster","A tool for which PDB and index file output was corrected and improved","software","yes","4,150,151,192,314,320,832,844,848,880","13","Lower-priority member of semantic cluster led by row 290 (Champion: 'gmx cluster')"
"gmx convert-tpr -s -o","gmx convert-tpr -s -o","A combination of options that was fixed","software","yes","800","1","Lower-priority member of semantic cluster led by row 293 (Champion: 'gmx convert-tpr -s -o')"
"gmx convert-tpr -until","gmx convert-tpr -until","A fix for calculating the remaining number of steps","software","yes","802","1","Lower-priority member of semantic cluster led by row 295 (Champion: 'gmx convert-tpr -until')"
"Covariance analysis tool","gmx covar","A GROMACS tool to calculate and diagonalize the covariance matrix","software","no","","0","Lower-priority member of semantic cluster led by row 297 (Champion: 'gmx covar')"
"gmx covar","gmx covar","An analysis tool for which a range checking bug was fixed","software","yes","4,133,139,159,221,314,323,408,574,806,817,891","17","Lower-priority member of semantic cluster led by row 297 (Champion: 'gmx covar')"
"Density analysis tool","gmx density","A GROMACS tool for calculating mass density profiles along a box axis","software","no","","0","Lower-priority member of semantic cluster led by row 301 (Champion: 'gmx density')"
"gmx density","gmx density","A GROMACS tool to compute partial densities across the simulation box","software","yes","4,163,314,322,578,786,791,877","12","Lower-priority member of semantic cluster led by row 301 (Champion: 'gmx density')"
"Density order parameter tool","gmx densorder","A GROMACS tool for analyzing density and order at interfaces","software","no","","0","Lower-priority member of semantic cluster led by row 303 (Champion: 'gmx densorder')"
"gmx dipoles -quad","gmx dipoles -quad","A fix for incorrect reporting of quadrupole values","software","yes","802","1","Lower-priority member of semantic cluster led by row 305 (Champion: 'gmx dipoles -quad')"
"gmx disre","Added check for inconsistent input of distance restraint labels in gmx disre.","A new check for inconsistent labels in this tool","software","yes","4,172,173,315,321,837,841","8","Lower-priority member of semantic cluster led by row 307 (Champion: 'gmx disre')"
"gmx disre","gmx disre","A tool that was made to work with non-consecutively labeled restraints","software","yes","4,172,173,315,321,837,841","8","Lower-priority member of semantic cluster led by row 307 (Champion: 'gmx disre')"
"gmx do_dssp","Actually fix gmx do_dssp","A follow-up fix for the tool which was still broken","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","Actually fix gmx do_dssp","A follow-up fix for the tool which was still broken","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","Fix do_dssp","A fix for a segmentation fault in the tool","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","Fix do_dssp","A fix for a segmentation fault in the tool","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","gmx do_dssp","A tool that was replaced by a native implementation in gmx dssp","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","gmx do_dssp","A tool that was replaced by a native implementation of the DSSP algorithm in gmx dssp","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","gmx do_dssp","A tool that has been replaced by a native implementation of the DSSP algorithm in gmx dssp","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx do_dssp","gmx do_dssp to be replaced","A deprecated tool that will be replaced with a native implementation","software","yes","764,766,788,811,819,823,833,852,894","11","Lower-priority member of semantic cluster led by row 315 (Champion: 'gmx do_dssp')"
"gmx dyndom","gmx dyndom tool was removed","A tool for analyzing DynDom outputs that was removed","software","yes","835","2","Lower-priority member of semantic cluster led by row 318 (Champion: 'gmx dyndom')"
"Configuration editing tool","gmx editconf","A GROMACS tool for modifying box vectors and atomic coordinates","software","no","","0","Lower-priority member of semantic cluster led by row 321 (Champion: 'editconf')"
"gmx genion","gmx genion","A GROMACS tool to randomly replace solvent molecules with ions","software","yes","4,199,315,318,322,341,805,887","11","Lower-priority member of semantic cluster led by row 324 (Champion: 'gmx genion')"
"gmx genion","gmx genion","A tool for which file permissions were fixed","software","yes","4,199,315,318,322,341,805,887","11","Lower-priority member of semantic cluster led by row 324 (Champion: 'gmx genion')"
