[Term],[Variable],[Description],[Category1|Category2|...]
"R6 integration","R6 integration","A numerical integration method over the molecular surface for Born radii","method|algorithm"
"CHAGB","CHAGB","Charge Hydration Asymmetric Generalized Born model","model|method"
"gbnsr6","gbnsr6","The executable program for the GBNSR6 model","software"
"dgij","dgij","Flag to control printing of pairwise electrostatic interaction energies","identifier"
"PBSA","PBSA","A continuum solvation model based on the Poisson-Boltzmann equation","model|method"
"pbsa","pbsa","The executable program for running PBSA calculations","software"
"pbsa.cuda","pbsa.cuda","The GPU-accelerated version of the pbsa program","software"
"Poisson-Boltzmann equation","Poisson-Boltzmann equation","A differential equation describing electrostatics in an ionic solution","model|method"
"SASA","SASA","Solvent Accessible Surface Area, a measure of molecular exposure","measure"
"Finite-difference method","Finite-difference (FD) method","A numerical method for solving differential equations like the PB equation","method|algorithm"
"Immersed Interface method","Immersed Interface method (IIM)","A numerical method for solving PDEs with interfaces","method|algorithm"
"EEL","EEL","The total electrostatic energy component in the output file","measure|identifier"
"EPB","EPB","The reaction field energy component in the output file","measure|identifier"
"ECAVITY","ECAVITY","The cavity component of the non-polar solvation energy","measure|identifier"
"EDISPER","EDISPER","The dispersion component of the non-polar solvation energy","measure|identifier"
"pqr file","pqr","A file format containing atomic coordinates, charges, and radii","data format"
"&cntrl","&cntrl","A namelist in Amber input files for general simulation controls","data format|identifier"
"&pb","&pb","A namelist in Amber input files for PBSA-specific options","data format|identifier"
"ipb","ipb","Option to set up the dielectric model for numerical PB procedures","identifier"
"inp","inp","Option to select the method for computing non-polar solvation energy","identifier"
"epsin","epsin","The dielectric constant of the solute interior","identifier|measure"
"epsout","epsout","The dielectric constant of the exterior solvent","identifier|measure"
"epsmem","epsmem","The dielectric constant of the implicit membrane region","identifier|measure"
"smoothopt","smoothopt","Option for setting dielectric values at the solute-solvent boundary","identifier"
"istrng","istrng","The ionic strength of the solution in mM for the PB equation","identifier|measure"
"pbtemp","pbtemp","Temperature in Kelvin used for the PB equation","identifier|measure"
"radiopt","radiopt","Option to select the source of atomic radii for PB calculations","identifier"
"dprob","dprob","The radius of the solvent probe used to define the molecular surface","identifier|measure"
"iprob","iprob","The radius of the mobile ion probe used to define the Stern layer","identifier|measure"
"sasopt","sasopt","Option to select the type of molecular surface to be used","identifier"
"saopt","saopt","Option to enable the calculation of the molecular surface area","identifier"
"triopt","triopt","Option to use trimer arc dots for more accurate surface mapping","identifier"
"arcres","arcres","The resolution of dots used to represent solvent accessible arcs","identifier|measure"
"membraneopt","membraneopt","Option to enable the implicit membrane model","identifier"
"mprob","mprob","The probe radius for the implicit membrane","identifier|measure"
"mthick","mthick","The thickness of the implicit membrane slab","identifier|measure"
"mctrdz","mctrdz","The center of the implicit membrane in the z-direction","identifier|measure"
"poretype","poretype","Option to enable an automatic pore-finding algorithm in membranes","identifier"
"npbopt","npbopt","Option to select between the linear or full nonlinear PB equation","identifier"
"solvopt","solvopt","Option to select the iterative solver for the PB equation","identifier"
"accept","accept","The iteration convergence criterion for the PB solver","identifier|measure"
"maxitn","maxitn","The maximum number of iterations for the PB solver","identifier|measure"
"fillratio","fillratio","Ratio of the FD grid dimension to the solute dimension","identifier|measure"
"space","space","The grid spacing for the finite-difference solver","identifier|measure"
"nbuffer","nbuffer","Distance of the FD grid boundary from the solute surface","identifier|measure"
"nfocus","nfocus","Number of focusing steps in a multi-grid PB calculation","identifier"
"fscale","fscale","Ratio of coarse to fine grid spacings in an electrostatic focusing calculation","identifier|measure"
"npbgrid","npbgrid","Frequency (in steps) for regenerating the finite-difference grid","identifier"
"bcopt","bcopt","Option for the boundary condition of the PB calculation","identifier"
"eneopt","eneopt","Option to select the method for computing total electrostatic energy","identifier"
"frcopt","frcopt","Option to compute and output electrostatic forces","identifier"
"scalec","scalec","Option to scale dielectric boundary surface charges","identifier"
"cutfd","cutfd","Cutoff distance for short-range finite-difference interactions","identifier|measure"
"cutnb","cutnb","Cutoff distance for non-bonded van der Waals and Coulombic interactions","identifier|measure"
"nsnba","nsnba","Frequency (in steps) for generating the atom-based non-bonded pairlist","identifier"
"phiout","phiout","Option to output the electrostatic potential map for visualization","identifier"
"phiform","phiform","Option to control the file format of the electrostatic potential map","identifier"
"outlvlset","outlvlset","Option to write the total level set function to a file","identifier"
"outmlvlset","outmlvlset","Option to write the membrane-only level set function to a file","identifier"
"npbverb","npbverb","Option to enable verbose output from the pbsa program","identifier"
"decompopt","decompopt","Option to select the decomposition scheme for non-polar energy","identifier"
"use_rmin","use_rmin","Option to use rmin values for van der Waals radii","identifier"
"sprob","sprob","Solvent probe radius for SASA used in the dispersion term","identifier|measure"
"vprob","vprob","Solvent probe radius for molecular volume used in the cavity term","identifier|measure"
"rhow_effect","rhow_effect","Effective water density for the non-polar dispersion term calculation","identifier|measure"
"use_sav","use_sav","Option to use molecular volume or surface area for the cavity term","identifier"
"cavity_offset","cavity_offset","The regression offset for the non-polar solvation free energy","identifier|measure"
"maxsph","maxsph","The approximate number of dots representing the maximal atomic SASA","identifier|measure"
"MLSES","MLSES","Machine-Learned Solvent Excluded Surface model","model|method"
"GENIUSES","GENIUSES","A specific, fast machine-learned solvent excluded surface model","model|software"
"Con2SES-3D","Con2SES-3D","A machine-learned solvent excluded surface model with high accuracy","model|software"
"mlses_opt","mlses_opt","Option to select the runtime for the MLSES model","identifier"
"Torch PBSA runtime","Torch PBSA runtime","A dedicated C++ runtime using LibTorch for PBSA calculations","software"
"Active site focusing","Active site focusing","A method to focus PB calculations on a specific region of interest","method"
"xmax","xmax","The upper boundary of the active site focusing box in x","identifier|measure"
"PyMol","PyMol","A molecular visualization system","software"
"VMD","VMD","A molecular visualization program","software"
"Delphi","Delphi","A program for solving the Poisson-Boltzmann equation","software"
"BiCG","BiCG","Biconjugate gradient, a solver for linear systems","algorithm"
"RISM","RISM","Reference Interaction Site Model of molecular solvation","model|method"
"1D-RISM","1D-RISM","A version of RISM for calculating bulk solvent properties","model|method"
"3D-RISM","3D-RISM","A version of RISM for calculating solvation properties of a solute","model|method"
"rism1d","rism1d","The executable program for 1D-RISM calculations","software"
"rism3d.snglpnt","rism3d.snglpnt","A standalone program for single-point 3D-RISM calculations","software"
"Ornstein-Zernike (OZ) equation","Ornstein-Zernike (OZ) equation","An integral equation relating correlation functions in a fluid","model|method"
"total correlation function","h","A function describing the total correlation between two particles","measure"
"direct correlation function","c","A function describing the direct correlation between two particles","measure"
"pair-distribution function","g_ab","Gives the conditional probability of finding a particle at a distance from another","measure"
"closure relation","closure relation","An equation relating the total and direct correlation functions","model|method"
"bridge function","b","A term in the closure relation representing complex many-body correlations","model|measure"
"hypernetted-chain approximation (HNC)","HNC","A closure relation where the bridge function is set to zero","model|method"
"Kovalenko-Hirata (KH)","KH","A hybrid closure relation combining HNC and the mean spherical approximation","model|method"
"PSE-n","PSE-n","A closure relation that interpolates between KH and HNC","model|method"
"intramolecular pair correlation matrix","ω_αγ(k)","A function describing the correlation between sites within the same molecule","measure|model"
"DRISM","DRISM","Dielectrically consistent RISM theory","model|method"
"MDIIS","MDIIS","Modified Direct Inversion of the Iterative Subspace, a convergence acceleration method","algorithm"
