"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"Con2SES-3D","Con2SES-3D","A machine-learned solvent excluded surface model with high accuracy","model|software","yes","26660,26663,26745,30972","4","Lower-priority member of semantic cluster led by row 133 (Champion: 'Con2SES-3D')"
"Constant pH Molecular Dynamics","Constant pH MD","A simulation method that allows protonation states to change dynamically.","method|process","yes","122101,126228,152373,167854,168409,168762,169828,172296,172835,172957,173956,173959,173979,173987,174054,174145,175511","17","Lower-priority member of semantic cluster led by row 136 (Champion: 'Constant pH Molecular Dynamics')"
"Core Region Mask","coremask","Amber mask specifying the core QM atoms","identifier","yes","63383,63443,63448,63464,63470,63508,63559,63884,64070,64120,64125,121915,121920,121968","15","Lower-priority member of semantic cluster led by row 141 (Champion: 'Core QM Region')"
"Core Region Mask","coremask","Amber selection mask to define the core QM region.","identifier|data format","yes","63383,63443,63448,63464,63470,63508,63559,63884,64070,64120,64125,121915,121920,121968","15","Lower-priority member of semantic cluster led by row 141 (Champion: 'Core QM Region')"
"Core QM Region Charge","corecharge","The net charge of the core QM region.","measure|state","yes","63398,63547,63552,121238,121243","5","Lower-priority member of semantic cluster led by row 140 (Champion: 'Core Region Charge')"
"cphstats","cphstats","A program to analyze cpout files from CpHMD simulations","software","yes","152524,152551,157712,157733,168897,168909,168914,169628,170240,170243,170252,170263,170279,170853,170977,171078,171194,171228,171247,171409,171509,171595,171641,171832,171846,171955,172077,172116,172190,172212,173265,173276,173282,175521","34","Lower-priority member of semantic cluster led by row 142 (Champion: 'cphstats')"
"cphstats","cphstats","A program to compute statistics from constant pH simulation outputs","software","yes","152524,152551,157712,157733,168897,168909,168914,169628,170240,170243,170252,170263,170279,170853,170977,171078,171194,171228,171247,171409,171509,171595,171641,171832,171846,171955,172077,172116,172190,172212,173265,173276,173282,175521","34","Lower-priority member of semantic cluster led by row 142 (Champion: 'cphstats')"
"cpin file","cpin","Input file describing titrating residues and their states","data format|data source","yes","106127,106276,106285,152612,152616,152620,152624,167974,167975,167983,167985,167990,168009,168021,168026,168027,168034,168058,168077,168190,168248,168256,168264,168272,168276,168280,168321,168350,168430,168516,168518,168535,168536,168537,168540,168658,168890,168891,169028,169091,169702,169720,169811,169840,169846,169856,169874,169921,170042,170073,170214,170279,170403,170409,170934,171237,171247,171409,171509,171595,171641,171955,172116,172207,172476,172510","75","Lower-priority member of semantic cluster led by row 145 (Champion: 'cpin')"
"cpout file","cpout","Output file logging the history of sampled protonation states","data format","yes","106127,106289,152435,152513,152517,152520,152529,152536,152540,152551,152557,152562,152570,152993,157643,157672,157691,157704,157814,157841,157854,157861,157877,157883,157897,157901,157908,157912,157916,157920,168524,168790,168791,168889,168890,168899,169708,170950,171215,171216,171221,171247,171409,171509,171595,171641,171955,172116,172154,172157,172184,172192,172202,172212,172218,172222,172223,172228","90","Lower-priority member of semantic cluster led by row 147 (Champion: 'cpout')"
"cpptraj","cpptraj","An AmberTools program for analyzing simulation trajectories.","software","yes","1999,2152,2160,2168,2958,3075,3227,3232,3277,13338,16632,67391,81264,83787,84038,88163,88289,107502,127661,150575,151233,151772,152409,152417,152871,152878,157609,157614,157628,167780,167795,175520,187919,188557,188604,188770,188774,188780,188815,188838,188851,188854,189485,189890,190979,195862,213154,215447,215688","50","Lower-priority member of semantic cluster led by row 149 (Champion: 'cpptraj')"
"CUDA","CUDA","Nvidia's parallel computing platform and API for GPUs","software|method","yes","2083,2945,2949,2951,2953,2973,2974,2975,2989,2991,2993,2994,2995,3000,3004,3007,3010,3028,3156,3165,3174,3667,20261,20287,22978,22998,26718,29985,30014,30021,30056,30061,30081,30101,30112,30209,30286,30339,30341,30345,30364,30378,30460,30470,30491,30496,30498,30502,30503,30526,30534,30546,30666,30669,30670,30904,47445,47446,47456,47460,47478,47482,47724,47729,47741,47818,47823,47927,47935,56026,56027,56042,56046,56077,56081,56148,56220,56514,56518,67400,67409,86936,87842,87845,87926,87965,98411,98417,98432,99680,99785,99789,100104,105499,111743,111755,111801,111819,111860,112877","174","Lower-priority member of semantic cluster led by row 152 (Champion: 'CUDA')"
"cut","cut","The cutoff distance for nonbonded interactions in Angstroms.","measure|unit","yes","13632,15218,15222,19257,19262,20104,20118,20128,20133,20146,21757,33667,34207,40339,40412,40436,40488,48515,49105,49106,49131,49133,49145,49272,49307,49409,49429,49546,49664,56398,57242,62681,64291,66628,66880,66902,67290,68189,86750,86786,87618,87689,99848,99914,99915,111934,112075,112215,112323,112534,112600,112755,112944,113052,113155,113948,113955,114023,115361,115363,115562,115571,115850,115865,115870,115911,116027,116035,117546,118531,118615,119552,119557,120102,120751,122564,123528,123895,124650,125088,125847,125986,126720,126745,127337,130887,130952,131029,131093,131158,131223,131836,133411,134566,135177,144744,144752,147486,147497,148129","125","Lower-priority member of semantic cluster led by row 153 (Champion: 'Non-bonded Cutoff')"
"cutfd","cutfd","Cutoff distance for short-range finite-difference interactions","identifier|measure","yes","25816,25821,25861,27361,28132,30325,31056,192309","8","Lower-priority member of semantic cluster led by row 155 (Champion: 'cutfd')"
"cutnb","cutnb","Cutoff distance for non-bonded van der Waals and Coulombic interactions","identifier|measure","yes","25648,25842,25847,25855,27289,27361,28132,30325,31056,192309","10","Lower-priority member of semantic cluster led by row 157 (Champion: 'cutnb')"
"CYX","CYX","Residue name for a cysteine involved in a disulfide bond.","identifier|chemical entity","yes","67867,67951,68659,68667,72991,74297,74308,80980,126807,188667,198695","12","Lower-priority member of semantic cluster led by row 159 (Champion: 'CYX')"
"damping function","damping function","A function used to moderate electrostatic interactions at short distances.","model|method","yes","45346,45522,59397,59419,101158,101296","6","Lower-priority member of semantic cluster led by row 161 (Champion: 'damping function')"
"decompopt","decompopt","Option to select the decomposition scheme for non-polar energy","identifier","yes","26132,26137,26173,26443,26554,26584","6","Lower-priority member of semantic cluster led by row 163 (Champion: 'decompopt')"
"Decomposition","dec","Energy decomposition of effective binding free energies","method|process","yes","20248,22485,23572,26142,26156,26174,26187,26199,26208,26302,26312,26403,26458,27034,27036,33401,33475,35281,35295,35600,39680,39701,39716,40192,40200,40263,40271,44055,86307,95875,107837,107840,107917,114777,114779,114784,114787,114792,114802,114830,114853,114881,114907,115126,126309,127128,129087,140797,140802,140803,140805,140811,140819,161061,187308,190317,191485,191552,191629,192157,192488,192522,192999,193000,193712,195244,195532,195536,195548,195550,195630,195634,195638,195642,199362,199365,203473,204140,204142,204915,204954,204963,204964,206212,206215,206392,206510,208838,211206","90","Lower-priority member of semantic cluster led by row 166 (Champion: 'Energy Decomposition')"
"DeePMD-kit","DeePMD-kit","A software package for training and running deep potential models","software","yes","59460,59497,59510,59517,59523,59529,59538,59583,59815,59858,59987,59996","12","Lower-priority member of semantic cluster led by row 167 (Champion: 'DeePMD-kit')"
"deleteBond","deleteBond","LEaP command to delete a bond between two atoms","software","yes","75945,75949,75954,86629,86634,86645","6","Lower-priority member of semantic cluster led by row 170 (Champion: 'deleteBond')"
"Delphi","Delphi","A program for solving the Poisson-Boltzmann equation","software","yes","23655,23895,25974,27371,27383,27395,27403,27453,27491,27512,27543,27552,27565,27580,27596,27601,27687,27751","18","Lower-priority member of semantic cluster led by row 171 (Champion: 'Delphi')"
"DFTB 3rd Order Correction","dftb_3rd_order","Specifies the 3rd-order DFTB correction method.","method|model","yes","46027,46032,46087,46111,50333,121975,121980","7","Lower-priority member of semantic cluster led by row 173 (Champion: 'DFTB 3rd Order Correction')"
"DFTB Dispersion Correction","dftb_disper","Flag to enable/disable dispersion correction for DFTB2","state","yes","46000,46005,50310,121765,121770","5","Lower-priority member of semantic cluster led by row 179 (Champion: 'Empirical Dispersion Correction')"
"DFTB Dispersion Correction","dftb_disper","Flag to use a dispersion correction for DFTB/SCC-DFTB.","method|model","yes","46000,46005,50310,121765,121770","5","Lower-priority member of semantic cluster led by row 179 (Champion: 'Empirical Dispersion Correction')"
"DFTB Electronic Temperature","dftb_telec","A parameter to aid SCF convergence in DFTB calculations","measure|unit","yes","46160,46165,50392,120823,120828","5","Lower-priority member of semantic cluster led by row 178 (Champion: 'DFTB Electronic Temperature')"
"Maximum DFTB Iterations","dftb_maxiter","Maximum number of SCF iterations for SCC-DFTB calculations.","measure|algorithm","yes","46185,46190,50415,121749,121754","5","Lower-priority member of semantic cluster led by row 180 (Champion: 'DFTB Max Iterations')"
"dgij","dgij","Flag to control printing of pairwise electrostatic interaction energies","identifier","yes","22668,22673","2","Lower-priority member of semantic cluster led by row 182 (Champion: 'dgij')"
"dielc","dielc","The distance-dependent dielectric constant for nmode calculations","measure","yes","113927,113932,118527,118611,119567,119572,120131,191313,191318,205208,205470","11","Lower-priority member of semantic cluster led by row 184 (Champion: 'Dielectric Constant')"
"DIIS Attempts","ndiis_attempts","Number of iterations DIIS extrapolation will be attempted.","measure|algorithm","yes","47040,47068,47081,92210,92228,121180,121185","7","Lower-priority member of semantic cluster led by row 186 (Champion: 'DIIS Attempts')"
"DISANG file","DISANG","A file containing distance, angle, and torsional restraint definitions","data format|data source","yes","20679,20714,117656,117986,117990,139564,139569,139603,165698,165854,176009,176019,176030,178938,181747,183193,183197,183468,214468,214476,214837,214841,214881,214911,214919,214948,214957,215001,215072,215099,215183,215253,215325,215472,215489,215507,215526,215538,215553,215577,215595,215613,215625,215749,215755,215768,215775,216157,216192,216229,216282,216283,216295,216380,216394,216410,216737,216739,216740,216741,216755,216767,216770,216786,216844","74","Lower-priority member of semantic cluster led by row 189 (Champion: 'disang file')"
"Dispersion Energy","E_dispersion","Energy contribution from solute-solvent dispersion interactions","measure","yes","122097","1","Lower-priority member of semantic cluster led by row 191 (Champion: 'Dispersion Energy')"
"DPRc","DPRc","Deep Potential Range Corrected neural network correction for QM/MM potentials","model|method","yes","59449,59452,59468,59477,59486,59497,59504,59525,59611,59667,59716,59720,59739,59759,59903,59923","16","Lower-priority member of semantic cluster led by row 192 (Champion: 'DPRc')"
"DPRc activation","idprc","An integer flag to activate the DPRc machine learning correction","state","yes","59672,59730,59735","3","Lower-priority member of semantic cluster led by row 194 (Champion: 'DPRc activation')"
"DPRc averaging","avg","A flag to use the average of multiple DPRc correction models","state","yes","59702,59882,59887,126839,132437,132450,170474,170784,171298,173476,173770","11","Lower-priority member of semantic cluster led by row 196 (Champion: 'DPRc averaging')"
"DPRc cutoff","rcut","A cutoff to dynamically select nearby atoms for the DPRc correction","measure|unit","yes","59682,59770,59775,59792,59794,59795,59861,59940","8","Lower-priority member of semantic cluster led by row 198 (Champion: 'DPRc cutoff')"
"DPRc intermolecular file","interfile","Neural network parameter file for QM/QM and QM/MM interactions","data source|data format","yes","59687,59692,59806,59811,59819,59823,59861,59864,59871,59891","10","Lower-priority member of semantic cluster led by row 200 (Champion: 'DPRc intermolecular file')"
"DPRc intramolecular file","intrafile","Neural network parameter file for QM/QM interactions only","data source|data format","yes","59697,59849,59854,59862,59867,59891","6","Lower-priority member of semantic cluster led by row 202 (Champion: 'DPRc intramolecular file')"
"DPRc mask","mask","Amber selection string for atoms to be corrected by the DPRc potential","identifier","yes","39844,49388,49391,59677,59749,59754,59788,59919,59940,59966,63383,63388,63393,68400,84129,84248,84253,84258,84265,84433,84543,84553,84554,84557,86362,86367,86417,86472,86500,86506,86529,86535,87630,87699,87881,87886,87887,88332,88339,88344,88364,88371,88374,88375,88395,88399,88403,88404,88405,88427,88432,88444,88445,88518,88523,88543,88548,88549,88550,88772,88800,88922,88926,96706,100009,105382,105383,108214,114720,114828,114851,114858,114880,114883,114906,114909,115048,115070,116295,121905,121925,121945,121965,128258,128296,128312,128460,128534,128825,128827,128938,130619,135005,138846,139637,146437,146454,146470,146486,146502","163","Lower-priority member of semantic cluster led by row 204 (Champion: 'DPRc mask')"
